Url,Name,Price,Short description,Code,Category,Description,Additional Information ,Size,Technical specification,USP,Power,Image links
https://www.kutchina.com/product/blackstar-60/,BLACKSTAR 60 Inclined Kitchen Chimney,,"Crafted with grace and elegance, our inclined chimney, Blackstar 60 is your ideal kitchen companion. Designed to enhance the aesthetics of your kitchen, the stylish look and superior quality makes it a must-have kitchen appliance. With an impressive filterless suction capacity of 1250±50 m³/hr, the Blackstar 60 absorbs the grease and smoke in the air, thus keeping your kitchen clean and fresh. Thanks to superior technology, this powerful kitchen appliance never disappoints you with its performance. Equipped with third-generation dry auto-clean technology, the chimney gives you a hassle-free cleaning experience. The chimney comes with a detachable tray that collects all the grease and oil. You just need to remove this tray and empty it once in a while.   The product comes with a lifetime warranty on the motor.",FGCH01RT0019,"Ductless inclined Kitchen Chimney, Kitchen Chimney","['Suction capacity: Blackstar 60 chimney by Kutchina comes high suction capabilities that offer best-in-class performance, thereby keeping your kitchen fresh and clean. The chimney comes with an impressive suction capacity of 1250±50 m³/hr that lends you a smoke-free kitchen.\xa0', 'Size: With a size of 60 cm, this robust kitchen chimney doesn’t take up too much space in the kitchen.\xa0', 'Layout: Apt for small to medium-sized kitchens, this chimney comes with an inclined hood that provides extensive coverage and performance. It goes well with U and L shaped kitchens.', 'Auto-clean technology: The third-generation dry auto-clean technology of the chimney provides you with a hassle-free cleaning experience. You don’t have to get your hands dirty while cleaning it as it comes with an oil collector that collects the residues and oil. It can be emptied from time to time and put back.\xa0', 'Illumination type: The chimney is equipped with a highly efficient LED lamp. This ensures that you have sufficient light when you are cooking.\xa0', 'Speed control: Equipped with three-speed controls, low, medium, and high, for maximum efficiency, you can adjust the speed on the basis of your cooking requirements and heat levels.\xa0', 'Switch control: The touch switch control not just enhances the look of your chimney but also enables you to operate the appliance very easily while cooking.\xa0', 'Aesthetics: The chimney is a perfect blend of style and functionality. The elegant design of the chimney makes it a must-have appliance for your kitchen. The black toughened glass finish and well-crafted design make the chimney suitable for all kinds of kitchens, whether they are modern or traditional.\xa0', 'Noise level: The motor of this chimney is designed to work effectively and efficiently without making too much noise. At 56 dB noise, you can cook in your kitchen without disturbance.\xa0', 'Warranty: The chimney comes with a lifetime warranty on the motor.']","['Suction Capacity : 1250', 'Size : 60 cm']","['LAYOUT: :  Inclined (2 ft)', 'BODY: :  MS', 'SIZE: :  60 Cm', 'Unit Dimension(mm): :  L600 X W430 X H510mm']","['Illumination type: :  LED Lamp', 'Illumination Power: :  2 X max 2W', 'Auto Clean type: :  DRY, 3rd Generation', 'Autoclean Power(W): :  74 W', 'Total Power(W): :  258 W', 'SUCTION(m3/h): :  1250±50m³/Hr', 'Noise Level(dBA): :  56 dB', 'Speed Control: :  3', 'Switch Control: :  Touch/Gesture control', 'Outlet Diameter(mm): :  150mm']","['Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: DRY, 3rd Generation']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  1 X 180W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Chimney_Black-star-60.jpg']
https://www.kutchina.com/product/blackstar-75/,Blackstar 75 Inclined Kitchen Chimney,,"Presenting Blackstar 75 inclined kitchen chimney by Kutchina. Blackstar 75 inclined kitchen chimney comes with auto clean technology, that makes cleaning and maintenance easier like never before. LED lamp, touch control with sensor add aesthetic value to this 3rd generation dry auto clean chimney. Blackstar 75 inclined kitchen chimney by Kutchina comes with 75 cm length and 150 mm duct diameter. It operates with total power of 254 W and 56 dB noise level.",,"Ductless inclined Kitchen Chimney, Kitchen Chimney, Large Appliances","['Finish  :  Black', '\xa0', 'Size  :  75 cm', '\xa0', 'Suction (M3/Hr) :  1250±50 M³/hr', '\xa0', 'Auto Clean Type :  DRY, 3rd Generation', '\xa0', 'Switch Control  :  Touch Control with sensor', '\xa0', 'Illumination Type  : LED Lamp', '\xa0', 'Voltage (V) / Frequency (Hz) : AC 220-240V / 50Hz', '\xa0', 'Noise Level (dBA) : 56 dB', '\xa0', 'Total Power  :  254W', '\xa0', 'Duct Diameter (mm) : 150 mm', '\xa0', 'Product Dimension (L X W X H)(mm) : 750 X 390 X 820mm', '\xa0']","['Suction Capacity : 1250', 'Size : 75 cm']",[],"['Finish  :  Black', 'Size  :  75 cm', 'Suction (M3/Hr) :  1250±50 M³/hr', 'Auto Clean Type :  DRY, 3rd Generation', 'Switch Control  :  Touch Control with sensor', 'Illumination Type  : LED Lamp', 'Voltage (V) / Frequency (Hz) : AC 220-240V / 50Hz', 'Noise Level (dBA) : 56 dB', 'Total Power  :  254W', 'Duct Diameter (mm) : 150 mm', 'Product Dimension (L X W X H)(mm) : 750 X 390 X 820mm']",[],[],"['https://www.kutchina.com/wp-content/uploads/2021/01/FDS_0015-1.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/01/FDS_0021.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/01/FDS_0116.jpg']"
https://www.kutchina.com/product/blackstar-90/,Blackstar 90 Inclined Kitchen Chimney,,"Blackstar 90 inclined kitchen chimney is the best kitchen chimney for Indian homes that involves lots of cooking. This 90 cm long chimney comes with auto clean function and LED lamp to illuminate the cooking station. With 1250±50 m3/hr suction capacity, it is best suited for any large Indian kitchen. Blackstar 90 inclined kitchen chimney operated under total power of 254W and 56 dB noise level. Connect with us to buy Blackstar 90 inclined kitchen chimney for the best price.",,"Ductless inclined Kitchen Chimney, Kitchen Chimney, Large Appliances","['Finish  :  Black', 'Size  :  90 cm', 'Suction (M3/Hr) :  1250±50 M³/hr', 'Auto Clean Type :  DRY, 3rd Generation', 'Switch Control  :  Touch Control with sensor', 'Illumination Type  : LED Lamp', 'Voltage (V) / Frequency (Hz) : AC 220-240V / 50Hz', 'Noise Level (dBA) : 56 dB', 'Total Power  :  254W', 'Duct Diameter (mm) : 150 mm', 'Product Dimension (L X W X H)(mm) : 900 X 390 X 820mm']","['Suction Capacity : 1250', 'Size : 90 cm']",[],"['Finish  :  Black', 'Size  :  90 cm', 'Suction (M3/Hr) :  1250±50 M³/hr', 'Auto Clean Type :  DRY, 3rd Generation', 'Switch Control  :  Touch Control with sensor', 'Illumination Type  : LED Lamp', 'Voltage (V) / Frequency (Hz) : AC 220-240V / 50Hz', 'Noise Level (dBA) : 56 dB', 'Total Power  :  254W', 'Duct Diameter (mm) : 150 mm', 'Product Dimension (L X W X H)(mm) : 900 X 390 X 820mm']",[],[],"['https://www.kutchina.com/wp-content/uploads/2021/01/FDS_0003-1.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/01/FDS_0062.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/01/FDS_0069.jpg']"
https://www.kutchina.com/product/bravo-dlx/,BRAVO DLX Inclined Kitchen Chimney,,"The Kutchina Bravo DLX inclined kitchen chimney helps you get rid of toxic fumes and smoke from your kitchen. Loaded with a number of features, this chimney enhances your cooking experience by eliminating the harmful cooking fumes. With a suction capacity of 1200±50 m³/h, this filterless chimney efficiently sucks the fumes while making sure that your kitchen is clean and fresh. The 60 cm length is ideal for small to medium-sized kitchens. The touch control panel makes it easy to operate the chimney, which comes with two-speed settings. Equipped with i-Autoclean technology, the chimney doesn’t require manual cleaning. The artificial intelligence-based sensors detect grease and oil and schedule the cleaning, allowing touch-free cleaning. The product comes with a lifetime warranty on the motor.",,"Ductless inclined Kitchen Chimney, Kitchen Chimney","['Suction capacity: Get rid of harmful gases and fumes with Bravo DLX 60 chimney by Kutchina that comes with a highly efficient motor. With a suction capacity of 1200±50 m³/hr, this chimney offers you a smoke-free kitchen. Keep your kitchen spotless and odour-free with this chimney.\xa0', 'Size: The 60cm kitchen chimney doesn’t occupy too much space in the kitchen. It is ideal for kitchens with 2 or 3 burners.\xa0', 'Layout: The layout of the kitchen chimney is inclined that goes well with U and L shaped kitchens. It is perfect for small to medium-sized kitchens that ensure extensive coverage as well as performance.', 'i-Auto-clean technology: Thanks to the advanced feature of intelligent auto clean or iAutoclean technology, the chimney lends you a hassle-free cleaning experience. All you need to do is relax and the machine will clean itself automatically. It sets the cleaning schedules by itself and eliminates your need for manually doing the task.', 'Illumination type: The kitchen chimney has a highly efficient LED lamp, designed to illuminate the cooking area efficiently.\xa0', 'Speed control: The three-speed control – low, medium, and high, lets you adjust and control the speed depending on the cooking requirements for maximum efficiency.\xa0', 'Switch control: The kitchen chimney comes with a touch switch control panel that not just elevates the aesthetics of your kitchen but also lets you operate the kitchen appliance very easily when cooking.\xa0', 'Low noise level: The motors of the chimney are designed to produce less noise, which in turn lends you a peaceful cooking experience.\xa0', 'Aesthetics: The chimney is a perfect blend of style and functionality. The elegant design and the black colour of the chimney, loaded with supreme features, makes it a must-have appliance for your kitchen. Bravo DLX is perfect for elevating the aesthetics of your kitchen.', 'Warranty: The chimney comes with a lifetime warranty on the motor.']","['Size: :  60cm', 'Suction: :  1200m3/hr', 'Warranty: :  Life time warranty on motor', 'Filter type: : Motors: 100% copper buinding motors', 'Key Points: : Filter type:Filterlesss Technology for greater suction capacity', '*Note : Key Points: 3rd generation Dry Auto-Clean']","['LAYOUT: :  Inclined (2 ft)', 'BODY: :  MS', 'SIZE: :  60 Cm', 'Unit Dimension(mm): :  L600 X W420 X H900mm']","['Finish :  : Black', 'Size :  : 60cm', 'Suction :  : 1200m3/hr', 'Auto-Clean Type :  : Intelligent Auto clean', 'Switch Control: : Touch Control with Intelligent Auto clean technology', 'No of speed control :  : 2', 'Filter type :  : Filterlesss', 'Illumination Type :  : LED', 'Voltage / Freequency :  : 220 / 240 V – 50 Hz', 'Noise Level :  : 58 db', 'Duct Diameter :  : 150 mm', 'Key Points :  :  Intelligent Autoclean / Touch Interface / life time warranty on motor / 1 year Warranty on Product', 'Product Dimension :  : L600 x W420 x H900 mm', 'Gross Weight :  : 22 Kg', 'Net weight (kg) :  : 18.5 Kg', 'HSN code :  : 8414', 'Packaging dimension :  : L682 x W635 x H542mm']","['Touch Free Cleaning', 'Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: INTELLIGENT AUTO CLEAN']",['“Voltage(V): AC220-240V Rated Motor Power(W): 1 X 250W”'],"['https://www.kutchina.com/wp-content/uploads/2020/06/Chimeny_BRAVO-1.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/1-10.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/2-13.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/3-10.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/4-10.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/5-6.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/6-6.jpg']"
https://www.kutchina.com/product/cresta-dlx-bk/,CRESTA DLX BK Inclined Kitchen Chimney,,"Kutchina Cresta DLX BK chimney is all you need for your kitchen to get rid of smell and cooking fumes. With a 1300±50 m³/h suction capacity, the chimney sucks out all the toxic fumes and smoke from your kitchen while ensuring a clean and fresh space. Thanks to the powerful motor, the chimney performs efficiently. High on style and functionality, this chimney is your ideal kitchen companion. The uniquely designed touch control panel that comes with three separate speed options, makes it easy to operate and use. Besides, This chimney comes with iAutoclean technology which eliminates the need for manually cleaning the chimney. The in-built intelligent system automatically senses when the cleaning is due and it cleans the chimney accordingly.  The product comes with a lifetime warranty on the motor.",FGCH01RT0008,"Ductless inclined Kitchen Chimney, Kitchen Chimney","['Suction capacity: Get rid of the toxic impurities and keep your kitchen odour and oil-free with Kutchina Cresta DLX BK chimney. The chimney efficiently sucks the toxic fumes and odour out of your kitchen, keeping it spotless and fresh. The filterless chimney has a suction capacity of 1300±50 m³/h capacity. The powerful motor removes all the traces of grime and fumes within seconds.', 'Size: Known for its superior suction, the 60 cm chimney is ideal for a compact kitchen.\xa0', 'Layout type: Ideal for small to medium-sized kitchens, the chimney is designed to keep your kitchen clean and non-sticky without taking too much space.\xa0', 'i-Autoclean technology: Equipped with i-Autoclean technology, the chimney allows touch-free cleaning. The intelligent sensors in the chimney senses when does the appliance needs cleaning and accordingly, it schedules one. This completely eliminates the manual work of cleaning.\xa0', 'Efficiency: Loaded with top-notch features, the kitchen chimney performs with utmost precision. After installing this chimney, grime-covered cabinets, walls, and ceilings will become a thing of the past. This chimney ensures a spotless and odour-free kitchen.', 'Illumination type: The LED lamp of the kitchen chimney efficiently illuminates the kitchen countertop while cooking. Highly energy efficient, this lamp is designed to consume low power while enhancing your culinary experience.', 'Lower noise levels: To ease your kitchen chores, the motor in the chimney is designed to operate at a low noise level.\xa0', 'Speed control: This chimney comes three speeds — low, medium and high. You can choose the suction capacity as per what you are cooking.\xa0', 'Switch control: The chimney comes with an easy-to-use touch control panel. You can easily adjust the speed illuminate the hob area.\xa0', 'Aesthetics: This elegant kitchen chimney is not just packed with an array of advanced features, but it also looks attractive. This well-crafted chimney will take the style quotient of your kitchen several notches higher. The black toughened glass finish is timeless.\xa0', 'Warranty: This technologically-advanced chimney comes with a lifetime warranty on the motor.']","['Suction Capacity : 1300', 'Size : 60 cm']","['LAYOUT: :  Inclined (2 ft)', 'BODY: :  MS', 'SIZE: :  60 Cm', 'Unit Dimension(mm): :  L600 X W420 X H900mm']","['Illumination type: :  LED Lamp', 'Illumination Power: :  1 X max 3W', 'Auto Clean type: :  Intelligent Auto Clean', 'Autoclean Power(W): :  100 W', 'Total Power(W): :  303 W', 'SUCTION(m3/h): :  1300±50m³/Hr', 'Noise Level(dBA): :  58 dB', 'Speed Control: :  3', 'Switch Control: :  Touch Control', 'Outlet Diameter(mm): :  150mm']","['Touch Free Cleaning', 'Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: INTELLIGENT AUTO CLEAN']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  1 X 200W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Chimeny_CRESTA-DLX-BK-600x600_.jpg']
https://www.kutchina.com/product/elizza-chimney/,ELIZZA DLX BK Inclined Kitchen Chimney,,"Keeping your kitchen looking clean and pristine is a challenging task, but not with Kutchina Elizza chimney. This model is designed to keep any cooking space free from cooking fumes. The high suction capacity of this chimney is the result of the use of a high-power electric motor.Apart from keeping your kitchen smoke-free, this appliance also elevates the aesthetic appeal of the space with its sophisticated design. The touch controls are easy to use and have a clean layout.  The 3rd generation dry auto clean feature of this model eliminates the hassle of having to manually and frequently clean the appliance.",,"Ductless inclined Kitchen Chimney, Kitchen Chimney",[],"['Sale Type : Retail', 'Suction Capacity : 1500', 'Size : 90 cm']","['LAYOUT: :  Inclined (3 ft)', 'BODY: :  MS', 'SIZE: :  90 Cm', 'Unit Dimension(mm): :  L900 X W450 X H870mm']","['Illumination type: :  Fluorescent Lamp', 'Illumination Power: :  1 X max 8W', 'Auto Clean type: :  Intelligent Auto Clean', 'Autoclean Power(W): :  80 W', 'Total Power(W): :  288 W', 'SUCTION(m3/h): :  1500±50m³/Hr', 'Noise Level(dBA): :  58 dB', 'Speed Control: :  2', 'Switch Control:  : Touch Control', 'Outlet Diameter(mm): :  160mm']","['Touch Free Cleaning', 'Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: INTELLIGENT AUTO CLEAN']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  1 X 200W']",['https://www.kutchina.com/wp-content/uploads/2018/11/170524114933-small.png']
https://www.kutchina.com/product/elizza-wht-chimney/,ELIZZA DLX WHT Inclined Kitchen Chimney,,"Kutchina Elizza White chimney has an edge over other chimneys as has everything that a good chimney should have. It has high-suction power, mount type installation, ductless design, stylish look and is low maintenance.This high-power electric motor ensures a high suction power on this model. It also incorporates the 3rd generation dry auto clean feature which eliminates the hassle of manually and frequently cleaning the filter. Due to its mount type installation, it draws all the cooking fumes out from your cooking space. The ductless design makes this model easy to install and use. Lastly, its sleek look and glossy finish add a modern look to your kitchen.",,"Ductless inclined Kitchen Chimney, Kitchen Chimney",[],"['Sale Type : Retail', 'Suction Capacity : 1500', 'Size : 90 cm']","['LAYOUT: :  Inclined (3 ft)', 'BODY: :  MS', 'SIZE: :  90 Cm', 'Unit Dimension(mm): :  L900 X W450 X H870mm']","['Illumination type: :  Fluorescent Lamp', 'Illumination Power: :  1 X max 8W', 'Auto Clean type: :  Intelligent Auto Clean', 'Autoclean Power(W): :  80 W', 'Total Power(W): :  288 W', 'SUCTION(m3/h): :  1500±50m³/Hr', 'Noise Level(dBA): :  58 dB', 'Speed Control: :  2', 'Switch Control: :  Touch Control', 'Outlet Diameter(mm): :  160mm']","['Touch Free Cleaning', 'Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: INTELLIGENT AUTO CLEAN']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  1 X 200W']",['https://www.kutchina.com/wp-content/uploads/2018/11/170524113459671-small.png']
