Url,Name,Price,Short description,Code,Category,Description,Additional Information ,Size,Technical specification,USP,Power,Image links
https://www.kutchina.com/product/kutchina-kadhai-22-cm/,KUTCHINA KADHAI 22 CM,"₹1,120.00","Time to bring home a lifestyle of healthy and hassle-free cooking with Kutchina’s Endura Cookware range. The cookware is made with a strong and safe 4-layered advanced Nano technology that helps you to maintain the family’s good health. The coating is not just long-lasting but metal spoon friendly as well. Alongside, the beautiful soft touch handles, induction compatible base and an exquisite marble finish make sure that cooking for you, is a delightful experience.",,Kadhai,[],"['Size : 22 cm', 'Product Category : Kadhai']",[],"['Stylish Soft touch Handle', 'Lasting 4 year Non stick coating', 'Metal Spoon Friendly', 'Induction Base Compatible', 'Marble Finish', 'PFOA free', 'Food Safe Coating', '2 year Warranty']",[],[],"['https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0051.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_00721.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0006.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/pan_5.jpg']"
https://www.kutchina.com/product/kutchina-kadhai-24-cm/,KUTCHINA KADHAI 24 CM,"₹1,199.00","Time to bring home a lifestyle of healthy and hassle-free cooking with Kutchina’s Endura Cookware range. The cookware is made with a strong and safe 4-layered advanced Nano technology that helps you to maintain the family’s good health. The coating is not just long-lasting but metal spoon friendly as well. Alongside, the beautiful soft touch handles, induction compatible base and an exquisite marble finish make sure that cooking for you, is a delightful experience.",,Kadhai,[],['Size : 24 cm'],[],"['Stylish Soft touch Handle', 'Lasting 4 year Non stick coating', 'Metal Spoon Friendly', 'Induction Base Compatible', 'Marble Finish', 'PFOA free', 'Food Safe Coating', '2 year Warranty']",[],[],"['https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0051.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0006.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_00721.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/pan_5.jpg']"
https://www.kutchina.com/product/kutchina-kadhai-30-cm/,KUTCHINA KADHAI 30 CM,"₹1,299.00","Time to bring home a lifestyle of healthy and hassle-free cooking with Kutchina’s Endura Cookware range. The cookware is made with a strong and safe 4-layered advanced Nano technology that helps you to maintain the family’s good health. The coating is not just long-lasting but metal spoon friendly as well. Alongside, the beautiful soft touch handles, induction compatible base and an exquisite marble finish make sure that cooking for you, is a delightful experience.",,Kadhai,[],['Size : 30 cm'],[],"['Stylish Soft touch Handle', 'Lasting 4 year Non stick coating', 'Metal Spoon Friendly', 'Induction Base Compatible', 'Marble Finish', 'PFOA free', 'Food Safe Coating', '2 year Warranty']",[],[],"['https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0051.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0006.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_00721.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/pan_5.jpg']"
