Url,Name,Price,Short description,Code,Category,Description,Additional Information ,Size,Technical specification,USP,Power,Image links
https://www.kutchina.com/product/purica-eco-water-purifier/,Purica Eco Premium,,,,Water Healthifier,[],[],[],"['Installation Type : Wall Mounting', 'Body Matetrial : ABS Plastic', 'Product Dimension : 390x290x425 mm', 'AC Mains : 230V – 50Hz', 'Storage Tank Capacity : 5L', 'Purification Stages : 8', 'AO : (Anti-Oxidant) Technology']",[],[],['https://www.kutchina.com/wp-content/uploads/2019/05/PURICA-ECO-600x627_.jpg']
https://www.kutchina.com/product/purica-excel-plus-premium/,Purica Excel Plus Premium,,,,Water Healthifier,[],[],[],"['Installation Type : Wall Mounting', 'Body Matetrial : ABS Plastic', 'Product Dimension : 350 X 250 X 475mm', 'AC Mains : 230V – 50Hz', 'Storage Tank Capacity : 7L', 'Purification Stages : 9', 'AO : (Anti-Oxidant) Technology']",[],[],['https://www.kutchina.com/wp-content/uploads/2020/06/Water-Healthifier_Purica-Excel-Plus-Premium-600x600_.jpg']
https://www.kutchina.com/product/purica-excel-water-purifier/,Purica Excel Premium,,,,Water Healthifier,[],[],[],"['Installation Type : Wall Mounting', 'Body Matetrial : ABS Plastic', 'Product Dimension : 360x224x470 mm', 'AC Mains : 230V – 50Hz', 'Storage Tank Capacity : 7L', 'Purification Stages : 9', 'AO : (Anti-Oxidant) Technology']",[],[],['https://www.kutchina.com/wp-content/uploads/2019/05/PURICA-EXCEL-600x767_.jpg']
https://www.kutchina.com/product/purica-premium/,Purica Premium,,,,Water Healthifier,[],[],[],"['Installation Type : Wall Mounting', 'Body Matetrial : ABS Plastic', 'Product Dimension : 360x224x470 mm', 'AC Mains : 230V – 50Hz', 'Storage Tank Capacity : 7L', 'Purification Stages : 9', 'AO : (Anti-Oxidant) Technology']",[],[],['https://www.kutchina.com/wp-content/uploads/2020/06/Water-Healthifier_Purica-Premium-600x600_.jpg']
https://www.kutchina.com/product/dewdrop-dlx_r/,Dewdrop Dlx Premium,,,,Water Healthifier,[],['No of Purification Stage : 3'],[],"['Installation Type : Wall Mounting', 'Body Matetrial : ABS Plastic', 'Product Dimension : 280x185x400 mm', 'AC Mains : 230V – 50Hz', 'Storage Tank Capacity : N/A', 'Purification Stages : 3', 'AO : (Anti-Oxidant) Technology']",[],[],['https://www.kutchina.com/wp-content/uploads/2019/02/DEWDROP-DLX_R-600x643_.jpg']
