Url,Name,Price,Short description,Code,Category,Description,Additional Information ,Size,Technical specification,USP,Power,Image links
https://www.kutchina.com/product/kutchina-onmi-tawa-25-cm/,KUTCHINA ONMI TAWA 25 CM,₹720.00,"Time to bring home a lifestyle of healthy and hassle-free cooking with Kutchina’s Endura Cookware range. The cookware is made with a strong and safe 4-layered advanced Nano technology that helps you to maintain the family’s good health. The coating is not just long-lasting but metal spoon friendly as well. Alongside, the beautiful soft touch handles, induction compatible base and an exquisite marble finish make sure that cooking for you, is a delightful experience.",,OMNI TAWA,[],['Product Category : Omni Tawa'],[],"['Stylish Soft touch Handle', 'Lasting 4 year Non stick coating', 'Metal Spoon Friendly', 'Induction Base Compatible', 'Marble Finish', 'PFOA free', 'Food Safe Coating', '2 year Warranty']",[],[],"['https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0013.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0052.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0072.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/pan_8.jpg']"
https://www.kutchina.com/product/kutchina-onmi-tawa-28-cm/,KUTCHINA ONMI TAWA 28 CM,₹899.00,"Time to bring home a lifestyle of healthy and hassle-free cooking with Kutchina’s Endura Cookware range. The cookware is made with a strong and safe 4-layered advanced Nano technology that helps you to maintain the family’s good health. The coating is not just long-lasting but metal spoon friendly as well. Alongside, the beautiful soft touch handles, induction compatible base and an exquisite marble finish make sure that cooking for you, is a delightful experience.",,OMNI TAWA,[],[],[],"['Stylish Soft touch Handle', 'Lasting 4 year Non stick coating', 'Metal Spoon Friendly', 'Induction Base Compatible', 'Marble Finish', 'PFOA free', 'Food Safe Coating', '2 year Warranty']",[],[],"['https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0013.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0052.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0072.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/pan_8.jpg']"
https://www.kutchina.com/product/kutchina-onmi-tawa-30-cm/,KUTCHINA ONMI TAWA 30 CM,₹999.00,"Time to bring home a lifestyle of healthy and hassle-free cooking with Kutchina’s Endura Cookware range. The cookware is made with a strong and safe 4-layered advanced Nano technology that helps you to maintain the family’s good health. The coating is not just long-lasting but metal spoon friendly as well. Alongside, the beautiful soft touch handles, induction compatible base and an exquisite marble finish make sure that cooking for you, is a delightful experience.",,OMNI TAWA,[],[],[],"['Stylish Soft touch Handle', 'Lasting 4 year Non stick coating', 'Metal Spoon Friendly', 'Induction Base Compatible', 'Marble Finish', 'PFOA free', 'Food Safe Coating', '2 year Warranty']",[],[],"['https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0013.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0072.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/FDS_0052.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/11/pan_8.jpg']"
