Url,Name,Price,Short description,Code,Category,Description,Additional Information ,Size,Technical specification,USP,Power,Image links
https://www.kutchina.com/product/crescent-2-slice/,Kutchina Crescent 2 slice - Auto pop up toaster,,"Net Weight: 1 Kg, Gross Weight: 1.17 Kg  Capacity: 2 Slice Toaster  Color: White  Product Dimension: 263 X 155 X 178 (L x B x H) CmWith the Crescent – 2 slice toaster by Kutchina you can have crispy slices of toasts batch after batch. Easy to use, the appliance lets you toast two slices of bread at a time. You just have to, place the bread slices in the slots, and adjust the heating. With seven browning levels and three heating functions, you can prepare perfect crispy toasts in minutes. Besides, the removable crumb tray ensures trouble-free cleaning. A useful addition, the two-slice toaster features an attractive white glossy finish that enhances the aesthetics of your kitchen decor. The compact body is also easy to store and move from one place to another. The product comes with a warranty of two years.",,"Small Appliances, Toaster","['Number of slots: With two different slots, the Crescent – 2 slice toaster by Kutchina lets you toast two slices of bread at a time. Two-slot pop toasters are quite popular.\xa0', 'Heating functions: With advanced features like defrost, cancel, and reheat heating functions, the toaster is ideal for busy mornings. It makes toasting easier, without burning them. Besides, you can stop the toasting process in between, if required. You can also reheat toasts without overcooking them. The defrost feature allows you to toast bread straight from the freezer.\xa0', 'Browning control: The toaster comes with seven browning levels, which lets you prepare toasts as per the taste and needs of your family members. Adjust the knob of the toaster for the browning level. Choose the lower modes for lighter toasts and higher modes for crispier and dark toasts.\xa0\xa0', 'Crumb tray: Thanks to the removable crumb tray, the toaster is very easy to clean and maintain. It collects all the bread crumbs. You can remove the crumb tray from the appliance and empty it.\xa0', 'Easy to store: Sporting a compact body, the toaster can be easily stored even in limited kitchen spaces. The small and compact body also lets you carry it from one place to another.', 'Aesthetics: Featuring a stunning white metallic body, the sleek and stylish toaster is a useful addition to your kitchen space. Apt for everyday use, this appliance is ideal for making crispy and golden brown toasts every day.\xa0', 'Warranty: The toaster comes with a warranty of two years.']",['No of slice : 2 Toaster'],[],"['Voltage (V) : AC220-240V', 'Frequency (Hz) : 50Hz', 'Power Consumption : 700 W', 'Function : 3', 'Function Describtion : Defrost, Cancel, Reheat', 'Electronic variable browning control : 7', '\xa0Auto pop-up : YES', 'Drawing crumb tray : YES']",[],[],['https://www.kutchina.com/wp-content/uploads/2020/06/TOASTER_1800x1800_CRESCENT-2-SLICE.jpg']
https://www.kutchina.com/product/crescent-4-slice/,Kutchina Crescent 4 slice - Bread Toaster Machine,,"Net Weight: 1.8 Kg, Gross Weight: 2 Kg  Capacity: 4 Slice Toaster  Color: White  Product Dimension: 405 X 175 X 192 (L x B x H) CmToasting bread slices is easy with the Crescent – 4 slice toaster by Kutchina. Equipped with three heating functions and seven browning levels, you can prepare healthy and lip-smacking breakfast in no time. The sleek and compact kitchen appliance delivers high-end performance, toasting four slices of bread at one go. The removable crumb tray collects all the bread crumbs making it easy to clean. Besides, the clean detailing of the toaster controls makes it easier for you to operate the appliance. The product comes with two years of warranty.",,"Small Appliances, Toaster","['Number of slots: Now you can make crunchy and perfect toasts for breakfast in minutes with the Crescent – 4 slice toaster by Kutchina. It comes with four slots that let you prepare four toasts at once, for those busy mornings.\xa0', 'Heating functions: The toaster is equipped with heating modes – defrost, cancel, and reheat. The defrost function helps you toast frozen or refrigerated bread slices. The reheat function warms toast without overcooking them. Besides, the cancel function lets you stop the toasting process in between if required.', 'Browning control: The toaster’s adjustable knob lets you adjust the browning level of the toast slices. With seven browning levels, you can toast the bread slices from crispy light brown to crunchy deep and dark toasted ones.\xa0\xa0', 'Crumb tray: A convenient detachable crumb tray comes with this toaster that is placed at the bottom. The crumb tray collects all the bread crumbs, which can be emptied and cleaned.\xa0', 'Easy to store: The small and sleek model delivers best-in-class performance without taking up too much room in the kitchen. Featuring a compact body, the toaster fits in perfectly in any kitchen space. Apt for regular use, you can store this appliance in a cabinet or on the counter space of the kitchen.\xa0', 'Aesthetics: The stylish and elegant design will look good in any kitchen, be it modular or traditional. The white exterior body gives the appliance a timeless look.\xa0', 'Warranty: The useful kitchen appliance has two years of warranty. \xa0']",['No of slice : 4 Toaster'],[],"['Voltage (V) : AC220-240V', 'Frequency (Hz) : 50Hz', 'Power Consumption : 850 W', 'Function : 3', 'Function Describtion : Defrost, Cancel, Reheat', 'Electronic variable browning control : 7', '\xa0Auto pop-up : YES', 'Drawing crumb tray : YES']",[],[],['https://www.kutchina.com/wp-content/uploads/2020/06/TOASTER_1800x1800_CRESCENT-4-SLICE.jpg']
https://www.kutchina.com/product/crescent-dlx/,Kutchina Crescent dlx 4 Slice - Bread Toaster Machine,,"Net Weight: 1.33 Kg, Gross Weight: 1.8 Kg  Capacity: 2 Slice Toaster  Color: White  Product Dimension: 276 X 172 X 169 (L x B x H) Cm With Crescent DLX toaster by Kutchina, you toast a pair of bread slices at the same time. This 1100W toaster comes with seven browning levels that allow you to adjust the crispiness of your toast as per your preference. The best part is, it comes with three heating functions – defrost, cancel, and reheat. You can defrost frozen bread instantly, using the defrost option. Use the reheat function to heat toasts that you have already prepared. The cancel button lets you stop the operation as per your convenience. Removable crumb tray makes it easier to clean the toaster. The product comes with a warranty of two years.",,"Small Appliances, Toaster","['Number of slots: The 1100 Watts Crescent DLX toaster by Kutchina allows you to toast two slices at once with variable browning options.\xa0', 'Heating functions: With three heating functions – defrost, cancel, and reheat, the toaster lets you make perfect crispy brown toasts very easily. With the defrost function, you can defrost the frozen bread. The reheat function enables you to reheat toasts without browning them further. Lastly, the cancel option allows you to stop any ongoing operation immediately.', 'Browning control: Whether you like crispy light brown toast or deep and dark toasted ones, the toaster will let you have it all. It comes with seven browning levels.\xa0', 'Crumb tray: The detachable crumb tray that comes with the toaster accumulates all the leftover crumbs, thereby offering quick and hassle-free cleaning. You can remove the tray, clean it up quickly, and place it back.\xa0', 'Easy to store: Apart from a sophisticated feel and sturdy looks, the toaster is compact, occupy less space and easily portable.', 'Aesthetics: Elegant and lightweight, the toaster comes in a white finish body that blends in seamlessly with any kitchen decor. High on functionality, the meticulously designed product accentuates the style of your kitchen as well.\xa0', 'Warranty: The toaster by Kutchina comes with a warranty of two years. \xa0']","['No of slice : 2 Toaster', 'Product Category : Toaster']",[],"['Voltage (V) : AC220-240V', 'Frequency (Hz) : 50Hz', 'Power Consumption : 1100 W', 'Function : 3', 'Function Describtion : Defrost, Cancel, Reheat', 'Electronic variable browning control : 7', '\xa0Auto pop-up : YES', 'Drawing crumb tray : YES']",[],[],['https://www.kutchina.com/wp-content/uploads/2020/06/TOASTER_1800x1800_CRESCENT-DLX.jpg']
