Link,Title,Description,Images,Features,Height,Model,Cat Code,Size(mm),Door Access,Price
https://hindware.com/product-category/shower_enclosure/,AMAZON,CORNER SHOWER ENCLOSURE WITH TWO FIXED AND OPEN ABLE DOOR FIXED ON GLASS,"['https://hindware.com/wp-content/uploads/2021/03/amazon-big-435x435.jpeg', 'https://hindware.com/wp-content/uploads/2021/03/AMAZON-Model-435x411.jpeg']","['Glass: Clear/ Frosted Acid wash', 'Left & Right Version Available', 'Custom Size available', 'Ledges are optional', 'Size (1600-3200)W x (1950)H', '8/10mm toughened Polish glass meets IS 2553 part 1 and EN-12150-1:2015', 'Aqua clean as a default features which makes bathroom more hygiene', 'Brass hardware with chrome finish to enhance aesthetic', 'SS304 mirror finish stabilizer bar & rust Free Screws', 'Shower Enclosure meets EN-14428:2015', 'Only Outside opening availability']",,,,,,
,,,,,2200 mm Standard Height,10 mm,SU13CLP-2832H22-CR,2801-3200,700,"₹68,900"
,,,,,2200 mm Standard Height,10 mm,SU13CLP-2428H22-CR,2401-2800,700,"₹66,000"
,,,,,2200 mm Standard Height,10 mm,SU13CLP-2024H22-CR,2001-2400,650,"₹61,000"
,,,,,2200 mm Standard Height,10 mm,SU13CLP-1620H22-CR,1601-2000,650,"₹60,000"
,,,,,2200 mm Standard Height,8 mm,SU83CLP-2832H22-CR,2801-3200,700,"₹59,700"
,,,,,2200 mm Standard Height,8 mm,SU83CLP-2428H22-CR,2401-2800,700,"₹56,900"
,,,,,2200 mm Standard Height,8 mm,SU83CLP-2024H22-CR,2001-2400,650,"₹54,800"
,,,,,2200 mm Standard Height,8 mm,SU83CLP-1620H22-CR,1601-2000,650,"₹53,200"
,,,,,1950mm Standard Height,10 mm,SU13CLP-2832H19-CR,2801-3200,700,"₹57,750"
,,,,,1950mm Standard Height,10 mm,SU13CLP-2428H19-CR,2401-2800,700,"₹54,400"
,,,,,1950mm Standard Height,10 mm,SU13CLP-2024H19-CR,2001-2400,650,"₹50,600"
,,,,,1950mm Standard Height,10 mm,SU13CLP-1620H19-CR,1601-2000,650,"₹48,100"
,,,,,1950mm Standard Height,8 mm,SU83CLP-2832H19-CR,2801-3200,700,"₹50,600"
,,,,,1950mm Standard Height,8 mm,SU83CLP-2428H19-CR,2401-2800,700,"₹47,300"
,,,,,1950mm Standard Height,8 mm,SU83CLP-2024H19-CR,2001-2400,650,"₹44,550"
,,,,,1950mm Standard Height,8 mm,SU83CLP-1620H19-CR,1601-2000,650,"₹42,350"
https://hindware.com/product-category/shower_enclosure/,EBELLO,CORNER SHOWER ENCLOSURE WITH TWO FIXED AND OPEN ABLE DOOR FIXED ON SIDE PANEL,"['https://hindware.com/wp-content/uploads/2021/03/ebello-pic-435x435.jpeg', 'https://hindware.com/wp-content/uploads/2021/03/EBELLO-Model-435x411.jpeg']","['Glass: Clear/ Frosted Acid wash', 'Left & Right Version Available', 'Custom Size available', 'Ledges are optional', 'Size (1600-3200)W x (1950)H', '8/10 mm toughened Polish glass meets IS 2553 part 1 and EN-12150-1:2015', 'Aqua clean as a default features which make bathroom more hygiene', 'Brass hardware with chrome finish to enhance aesthetic', 'Inside/outside opening availability', 'SS304 mirror finish stabilizer bar & rust Free Screws', 'Shower Enclosure meets EN-14428:2015']",,,,,,
,,,,,1950mm Standard Height,8 mm,SU83CLL-2428H19-CR,2401-2800,650,"₹46,200"
,,,,,2200 mm Standard Height,10 mm,SU13CLL-2832H22-CR,2801-3200,700,"₹67,500"
,,,,,2200 mm Standard Height,10 mm,SU13CLL-2428H22-CR,2401-2800,700,"₹63,800"
,,,,,2200 mm Standard Height,10 mm,SU13CLL-2024H22-CR,2001-2400,650,"₹60,200"
,,,,,2200 mm Standard Height,10 mm,SU13CLL-1620H22-CR,1601-2000,650,"₹59,000"
,,,,,2200 mm Standard Height,8 mm,SU83CLL-2832H22-CR,2801-3200,700,"₹59,200"
,,,,,2200 mm Standard Height,8 mm,SU83CLL-2428H22-CR,2401-2800,700,"₹56,000"
,,,,,2200 mm Standard Height,8 mm,SU83CLL-2024H22-CR,2001-2400,650,"₹52,600"
,,,,,2200 mm Standard Height,8 mm,SU83CLL-1620H22-CR,1601-2000,650,"₹51,000"
,,,,,1950mm Standard Height,10 mm,SU13CLL-2832H19-CR,2801-3200,700,"₹56,000"
,,,,,1950mm Standard Height,10 mm,SU13CLL-2428H19-CR,2401-2800,700,"₹52,400"
,,,,,1950mm Standard Height,10 mm,SU13CLL-2024H19-CR,2001-2400,650,"₹48,800"
,,,,,1950mm Standard Height,10 mm,SU13CLL-1620H19-CR,1601-2000,650,"₹47,100"
,,,,,1950mm Standard Height,8 mm,SU83CLL-2832H19-CR,2801-3200,700,"₹49,500"
,,,,,1950mm Standard Height,8 mm,SU83CLL-2024H19-CR,2001-2400,650,"₹42,900"
,,,,,1950mm Standard Height,8 mm,SU83CLL-1620H19-CR,1601-2000,650,"₹41,250"
https://hindware.com/product-category/shower_enclosure/,AVIOR,CORNER SHOWER ENCLOSURE WITH TWO FIXED AND OPEN ABLE DOOR FIXED ON GLASS,"['https://hindware.com/wp-content/uploads/2021/03/avior-big-435x435.jpeg', 'https://hindware.com/wp-content/uploads/2021/03/AVIOR-Model-435x411.jpeg']","['Glass: Clear/ Frosted Acid wash', 'Left & Right Version Available', 'Custom Size available', 'Ledges are optional', 'Size (1600-3200) W x (1950)H', '8/10mm toughened Polish glass meets IS 2553 part 1 and EN-12150-1:2015', 'Aqua clean as a default features which makes bathroom more hygiene', 'Brass hardware with chrome finish to enhance aesthetic', 'SS304 mirror finish stabilizer bar & rust Free Screws', 'Only Outside Opening availability', 'Shower Enclosure meets EN-14428:2015']",,,,,,
,,,,,2200 mm Standard Height,10 mm,SU13CLG-2832H22-CR,2801-3200,700,"₹66,500"
,,,,,2200 mm Standard Height,10 mm,SU13CLG-2428H22-CR,2401-2800,700,"₹62,800"
,,,,,2200 mm Standard Height,10 mm,SU13CLG-2024H22-CR,2001-2400,700,"₹59,500"
,,,,,2200 mm Standard Height,10 mm,SU13CLG-1620H22-CR,1601-2000,650,"₹56,500"
,,,,,2200 mm Standard Height,8 mm,SU83CLG-2832H22-CR,2801-3200,700,"₹59,000"
,,,,,2200 mm Standard Height,8 mm,SU83CLG-2428H22-CR,2401-2800,700,"₹55,000"
,,,,,2200 mm Standard Height,8 mm,SU83CLG-2024H22-CR,2001-2400,700,"₹52,500"
,,,,,2200 mm Standard Height,8 mm,SU83CLG-1620H22-CR,1601-2000,650,"₹50,200"
,,,,,1950mm Standard Height,10 mm,SU13CLG-2832H19-CR,2801-3200,700,"₹55,400"
,,,,,1950mm Standard Height,10 mm,SU13CLG-2428H19-CR,2401-2800,700,"₹51,900"
,,,,,1950mm Standard Height,10 mm,SU13CLG-2024H19-CR,2001-2400,700,"₹48,700"
,,,,,1950mm Standard Height,10 mm,SU13CLG-1620H19-CR,1601-2000,650,"₹45,600"
,,,,,1950mm Standard Height,8 mm,SU83CLG-2832H19-CR,2801-3200,700,"₹49,500"
,,,,,1950mm Standard Height,8 mm,SU83CLG-2428H19-CR,2401-2800,700,"₹46,200"
,,,,,1950mm Standard Height,8 mm,SU83CLG-2024H19-CR,2001-2400,700,"₹42,900"
,,,,,1950mm Standard Height,8 mm,SU83CLG-1620H19-CR,1601-2000,650,"₹41,250"
https://hindware.com/product-category/shower_enclosure/,CORA,"WALL TO WALL SHOWER ENCLOSURE THREE PART TWO FIX, ONE DOOR FIXED ON GLASS CENTRE OPENING","['https://hindware.com/wp-content/uploads/2021/03/cora-pic-435x435.jpg', 'https://hindware.com/wp-content/uploads/2021/03/CORA-Model-435x411.jpeg']","['Glass: Clear/ Frosted Acid wash', 'Left & Right Version Available', 'Custom Size available', 'Ledges are optional', 'Size (1200-2800)W x (1950) H', '8/10 mm toughened Polish glass meets IS 2553 part 1 and EN-12150-1:2015', 'Aqua clean as a default features which make bathroom more hygiene', 'Brass hardware with chrome finish to enhance aesthetic', 'Inside/outside opening availability', 'SS304 mirror finish stabilizer bar & rust Free Screws', 'Shower Enclosure meets EN-14428:2015']",,,,,,
,,,,,1950mm Standard Height,8 mm,SU83CWG-1216H19-CR,1200-1600,650,"₹34,760"
,,,,,1950mm Standard Height,8 mm,SU83CWG-1620H19-CR,1601-2000,700,"₹37,070"
,,,,,1950mm Standard Height,8 mm,SU83CWG-2024H19-CR,2001-2400,700,"₹41,250"
,,,,,1950mm Standard Height,8 mm,SU83CWG-2428H19-CR,2401-2800,700,"₹44,000"
,,,,,1950mm Standard Height,10 mm,SU13CWG-1216H19-CR,1200-1600,650,"₹39,600"
,,,,,1950mm Standard Height,10 mm,SU13CWG-1620H19-CR,1601-2000,700,"₹42,300"
,,,,,1950mm Standard Height,10 mm,SU13CWG-2024H19-CR,2001-2400,700,"₹47,000"
,,,,,1950mm Standard Height,10 mm,SU13CWG-2428H19-CR,2401-2800,700,"₹50,050"
,,,,,2200 mm Standard Height,8 mm,SU83CWG-1216H22-CR,1200-1600,650,"₹43,200"
,,,,,2200 mm Standard Height,8 mm,SU83CWG-1620H22-CR,1601-2000,700,"₹46,200"
,,,,,2200 mm Standard Height,8 mm,SU83CWG-2024H22-CR,2001-2400,700,"₹50,500"
,,,,,2200 mm Standard Height,8 mm,SU83CWG-2428H22-CR,2401-2800,700,"₹54,500"
,,,,,2200 mm Standard Height,10 mm,SU13CWG-1216H22-CR,1200-1600,650,"₹49,500"
,,,,,2200 mm Standard Height,10 mm,SU13CWG-1620H22-CR,1601-2000,700,"₹52,800"
,,,,,2200 mm Standard Height,10 mm,SU13CWG-2024H22-CR,2001-2400,700,"₹57,800"
,,,,,2200 mm Standard Height,10 mm,SU13CWG-2428H22CR,2401-2800,700,"₹60,500"
https://hindware.com/product-category/shower_enclosure/,MONROE,WALL TO WALL SHOWER ENCLOSURE TWO PART ONE FIX AND ONE OPENABLE DOOR ON WALL,"['https://hindware.com/wp-content/uploads/2021/03/monroe-big-435x435.jpeg', 'https://hindware.com/wp-content/uploads/2021/03/MONROE-Model-435x411.jpeg']","['Glass: Clear/ Frosted Acid wash', 'Left & Right Version Available', 'Custom Size available', 'Ledges are optional', 'Size (600-2000) W x (1950)H', '8/10mm toughened Polish glass meets IS 2553 part 1 and EN-12150-1:2015', 'Aqua clean as a default features which makes bathroom more hygiene', 'Brass hardware with chrome finish to enhance aesthetic', 'Inside/outside opening availability', 'SS304 mirror finish stabilizer bar & rust Free Screws', 'Shower Enclosure meets EN-14428:2015']",,,,,,
,,,,,1950mm Standard Height,8 mm,SU82CWW-1620H19-CR,1601-2000,700,"₹38,200"
,,,,,1950mm Standard Height,8 mm,SU82CWW-1216H19-CR,1201-1600,650,"₹34,430"
,,,,,1950mm Standard Height,8 mm,SU82CWW-0812H19-CR,801-1200,600,"₹30,690"
,,,,,1950mm Standard Height,10 mm,SU12CWW-1620H19-CR,1601-2000,700,"₹34,600"
,,,,,1950mm Standard Height,10 mm,SU12CWW-1216H19-CR,1201-1600,650,"₹32,200"
,,,,,1950mm Standard Height,10 mm,SU12CWW-0812H19-CR,801-1200,600,"₹28,400"
,,,,,2200 mm Standard Height,8 mm,SU82CWW-1620H22-CR,1601-2000,700,"₹38,200"
,,,,,2200 mm Standard Height,8 mm,SU82CWW-1216H22-CR,1201-1600,650,"₹34,430"
,,,,,2200 mm Standard Height,8 mm,SU82CWW-0812H22-CR,801-1200,600,"₹30,690"
,,,,,2200 mm Standard Height,10 mm,SU12CWW-0812H22-CR,801-1200,600,"₹34,700"
,,,,,2200 mm Standard Height,10 mm,SU12CWW-1216H22-CR,1201-1600,650,"₹38,900"
,,,,,2200 mm Standard Height,10 mm,SU12CWW-1620H22-CR,1601-2000,700,"₹41,700"
https://hindware.com/product-category/shower_enclosure/,PRISTINE,SHOWER ENCLOSURE SINGLE FIX PART TUB MOUNTED,"['https://hindware.com/wp-content/uploads/2021/03/pristine-pic-435x435.jpeg', 'https://hindware.com/wp-content/uploads/2021/03/PRISTINE-Model-435x411.jpeg']","['Glass: Clear/ Frosted Acid wash', 'Left & Right Version Available', 'Custom Size available', 'Ledges are optional', 'Size (600-1800)W x (1400) H', '8/10 mm toughened Polish glass meets IS 2553 part 1 and EN-12150-1:2015', 'Aqua clean as a default features which make bathroom more hygiene', 'Brass Connectors with chrome finish to enhance aesthetic', 'SS304 mirror finish stabilizer bar & rust Free Screws', 'Shower Enclosure meets EN-14428:2015']",,,,,,
,,,,,,8 mm,SU81CWT-0608H14-CR,600-800,,"₹9,845"
,,,,,,8 mm,SU81CWT-0812H14-CR,801-1200,,"₹12,430"
,,,,,,8 mm,SU81CWT-1216H14-CR,1201-1600,,"₹15,400"
,,,,,,8 mm,SU81CWT-1618H14-CR,1601-1800,,"₹16,830"
,,,,,,10 mm,SU11CWT-0608H14-CR,600-800,,"₹11,300"
,,,,,,10 mm,SU11CWT-0812H14-CR,801-1200,,"₹15,200"
,,,,,,10 mm,SU11CWT-1216H14-CR,1201-1600,,"₹17,500"
,,,,,,10 mm,SU11CWT-1618H14-CR,1601-1800,,"₹19,000"
https://hindware.com/product-category/shower_enclosure/,KYLIS,STAND ALONE WITH STABILIZER ROD,"['https://hindware.com/wp-content/uploads/2021/03/kylis-big-435x435.jpeg', 'https://hindware.com/wp-content/uploads/2021/03/KYLIS-Model-435x411.jpeg']","['Glass: Clear/ Frosted Acid wash', 'Left & Right Version Available', 'Custom Size available', 'Ledges are optional', 'Size (600-1200)W x (1950)H', '8/10mm toughened Polish glass meets IS 2553 part 1 and EN-12150-1:2015', 'Aqua clean as a default features which makes bathroom more hygiene', 'Brass Connectors with chrome finish', 'SS304 mirror finish stabilizer bar & rust Free Screws', 'Shower Enclosure meets EN-14428:2015']",,,,,,
,,,,,1950mm Standard Height,8 mm,SU81CWR-0609H19-CR,600-900,,"₹14,850"
,,,,,1950mm Standard Height,8 mm,SU81CWR-0912H19-CR,901-1200,,"₹16,800"
,,,,,1950mm Standard Height,10 mm,SU11CWR-0609H19-CR,600-900,,"₹16,000"
,,,,,1950mm Standard Height,10 mm,SU11CWR-0912H19-CR,901-1200,,"₹18,000"
,,,,,2200 mm Standard Height,8 mm,SU81CWR-0609H22-CR,600-900,,"₹17,500"
,,,,,2200 mm Standard Height,8 mm,SU81CWR-0912H22-CR,901-1200,,"₹19,500"
,,,,,2200 mm Standard Height,10 mm,SU11CWR-0609H22-CR,600-900,,"₹19,000"
,,,,,2200 mm Standard Height,10 mm,SU11CWR-0912H22-CR,901-1200,,"₹21,500"
https://hindware.com/product-category/shower_enclosure/,ESSENCE,SHOWER ENCLOSURE SINGLE FIX PART STAND ALONE,"['https://hindware.com/wp-content/uploads/2021/03/essence-pic-435x435.jpeg', 'https://hindware.com/wp-content/uploads/2021/03/ESSENCE-Model-435x411.jpeg']","['Glass: Clear/ Frosted Acid wash', 'Left & Right Version Available', 'Custom Size available', 'Ledges are optional', 'Size (600-1800)W x (2200) H', '8/10 mm toughened Polish glass meets IS 2553 part 1 and EN-12150-1:2015', 'Aqua clean as a default features which make bathroom more hygiene', 'Brass Connectors with chrome finish', 'Shower Enclosure meets EN-14428:2015']",,,,,,
,,,,,1950mm Standard Height,8 mm,SU81CXF-0608H19-CR,600-800,,"₹11,000"
,,,,,1950mm Standard Height,8 mm,SU81CXF-0812H19-CR,800-1200,,"₹14,800"
,,,,,1950mm Standard Height,8 mm,SU81CXF-1216H19-CR,1201-1600,,"₹17,930"
,,,,,1950mm Standard Height,8 mm,SU81CXF-1618H19-CR,1601-1800,,"₹19,800"
,,,,,1950mm Standard Height,10 mm,SU11CXF-0608H19-CR,600-800,,"₹12,600"
,,,,,1950mm Standard Height,10 mm,SU11CXF-0812H19-CR,800-1200,,"₹16,000"
,,,,,1950mm Standard Height,10 mm,SU11CXF-1216H19-CR,1201-1600,,"₹19,800"
,,,,,1950mm Standard Height,10 mm,SU11CXF-1618H19-CR,1601-1800,,"₹21,900"
,,,,,2200 mm Standard Height,8 mm,SU81CXF-0608H22-CR,600-800,,"₹13,585"
,,,,,2200 mm Standard Height,8 mm,SU81CXF-0812H22-CR,800-1200,,"₹17,900"
,,,,,2200 mm Standard Height,8 mm,SU81CXF-1216H22-CR,1201-1600,,"₹21,600"
,,,,,2200 mm Standard Height,8 mm,SU81CXF-1618H22-CR,1601-1800,,"₹23,500"
,,,,,2200 mm Standard Height,10 mm,SU11CXF-0608H22-CR,600-800,,"₹15,500"
,,,,,2200 mm Standard Height,10 mm,SU11CXF-0812H22-CR,800-1200,,"₹19,500"
,,,,,2200 mm Standard Height,10 mm,SU11CXF-1216H22-CR,1201-1600,,"₹23,500"
,,,,,2200 mm Standard Height,10 mm,SU11CXF-1618H22-CR,1601-1800,,"₹25,900"
https://hindware.com/product-category/shower_enclosure/,IMMACULA,WALL TO WALL SHOWER ENCLOSURE SINGLE PART DOOR WITH TOWEL HANDLE,"['https://hindware.com/wp-content/uploads/2021/03/immacula-pic-435x435.jpeg', 'https://hindware.com/wp-content/uploads/2021/03/Immacula-Model-435x411.jpeg']","['Glass: Clear/ Frosted Acid wash', 'Left & Right Version Available', 'Custom Size available', 'Ledges are optional', 'Size (600-1000) W x 1950 (H)', '8/10 mm toughened Polish glass meets IS 2553 part 1 and EN-12150-1:2015', 'Single Door Glass with Magnet Sealed Arrangement', 'Aqua clean as a default features which make bathroom more hygiene', 'Brass hinges with chrome finish', 'Towel Rod 19mm with 1.2mm thickness', 'Inside/outside opening availability']",,,,,,
,,,,,1950mm Standard Height,8 mm,SU81CWD-0608H19-CR,600-800x1950,800 max,"₹15,345"
,,,,,1950mm Standard Height,8 mm,SU81CWD-0810H19-CR,801-1000x1950,1000 max,"₹16,500"
,,,,,1950mm Standard Height,10 mm,SU11CWD-0608H19-CR,600-800x1950,800 max,"₹15,895"
,,,,,1950mm Standard Height,10 mm,SU11CWD-0810H19-CR,801-1000x1950,1000 max,"₹17,200"
,,,,,2200 mm Standard Height,8 mm,SU81CWD-0608H22-CR,600–800,800 max,"₹18,480"
,,,,,2200 mm Standard Height,8 mm,SU81CWD-0810H22-CR,801-1000,1000 max,"₹19,800"
,,,,,2200 mm Standard Height,10 mm,SU11CWD-0608H22-CR,600–800,800 max,"₹19,400"
,,,,,2200 mm Standard Height,10 mm,SU11CWD-0810H22-CR,801-1000,1000 max,"₹21,000"
